labels,text
0,"Former speaker of the house Bronwyn Bishop says Australia needs to produce the cheapest power possible to allow businesses to “compete against the slave labour that comes out of China”. Ms Bishop told Sky News host Paul Murray the fundamental thing which can be done for Australia is to “give us back the cheap power that we used to have for our coal fired power stations”. The federal government has set emerging technologies at the heart of its roadmap to cut Australia’s carbon emissions over the next 30 years. The report pointed to domestic gas, hydrogen, carbon capture and storage and even small-scale nuclear reactors in its transition towards renewable energy. Former Victorian Liberal Party president Michael Kroger said the Labor Party’s response to the report along with statements it made on coal following the 2019 election show how it is “Arthur and Martha” on coal. “They’ve got no idea what day it is in relation to coal,” he said. Image: AP Read More Our Apps"
0,"about 1 year ago #africanfootball, #africanwomenschampionsleague, #epl, #footballcalendar, #liverpoolfc, #premierleague, #womensfootball"
0,"The 13-year-old girl has sustained 70% burn injuries and is battling for her life at a private hospital. A 13-year-old Dalit girl in Khammam district of Telangana is battling for her life after she was set on fire allegedly by her employerâs son for resisting his sexual advances. The minor girl has sustained 70% burn injuries. Though the incident took place on September 18, it came to light on Monday after the girl disclosed the incident to her parents. According to the police, the victim, a native of Pallegudem village, Khammam district, was working as a domestic help at the house of Allam Subbarao. On September 18, Subbaroâs son, Allam Maraiah, allegedly tried to rape her. However, as she refused to give in, Maraiah set her on fire and fled from the spot, police said. The victim was then admitted in a private hospital for treatment by Subbaraoâs family, and they tried to bury the incident. A few days ago, the family told the victimâs parents that their daughter suffered injuries while doing work. Her father immediately rushed to the hospital. However, as the victim was in an unconscious state, she could not reveal the crime. Fortunately, the victim regained consciousness on Monday, and shared the entire incident to her father. Subsequently, he filed a complaint with the One Town police station. She reportedly told her father, ""When I was in the room, he came inside and asked me to sleep with him. When I refused, he forced himself on me. I struggled a lot. He tore my clothes and later set me ablaze and ran away from the place."" The One Town Police have registered a case under Sections 376 (punishment for rape), 307 (attempt to murder), 354 (assault or criminal force to woman with intent to outrage her modesty), 506 (Punishment for criminal intimidation) of IPC along with Protection of Children from Sexual Offences Act, 2012. Khammam Police Commissioner Tafseer Iqbal visited the private hospital where the girl is availing treatment and spoke with her parents. The Commissioner informed the media that the accused has already been detained after forming a special team, and that they have made a requisition to the district magistrate to take the dying declaration of the victim.   ©2021 the news minute"
0,"By Fr. Benedict Mayaki, SJ A Jesuit apostolate in the Indian State of Bihar is working in collaboration with a government agency to provide food for thousands of poor people, especially the most disadvantaged among the Dalit communities during the imposed coronavirus lockdown period in India. Manthan, a Jesuit social action center involved in working with the Dalit or ‘untouchables’ in the Hindu caste system, provided food parcels to about 5,000 poor people in Patna, the state capital. They also distributed foodstuff to widows, the elderly and the sick. Fr. Juno Sebastian SJ, the director of Manthan, said that this initiative came about after he was contacted by many people who said that they had not eaten for days. He immediately got in contact with officials of the Indian Railways Catering and Tourism Corporation (IRCTC) who agreed to support his idea to feed the poor. “Now we are distributing cooked meals to 1,500 of them daily, and we will continue until the end of the isolation. We are also working to help 6,500 Musahar families in Patna, for a total of about 40,000 people,” Fr. Sebastian said. The distribution of food takes place in the slums and villages where the Jesuit Provincial of the Patna Province, Father Donald Miranda, SJ, said that they have managed to reach 700 other families. It has also been extended to parts of Uttar Pradesh where about 3,000 families are also able to be fed daily. The Jesuit College of St. Xavier in Patna is also involved in distributing food to about 530 families in the area. Even though the Bihar state government distributes food to the people free of charge, many Dalits do not have access to it because they have no documents to prove where they live or their identity. On 24 March, the Indian government announced a nationwide lockdown as part of precautionary measures to stem the spread of the Covid-19 virus. The lockdown has been hard on the poor and the vulnerable especially the Dalit communities, who are predominantly menial workers in the suburbs of Patna, the capital of Bihar. India presently has 18,658 confirmed cases of coronavirus infections with 592 deaths and 3,273 recovered patients. Pope's Activities Our Faith Useful Information Other sites Our channels"
0,We are a Real estate agency based in New York City RT @Reuters: Australia PM says new coronavirus most likely emerged from Chinese wildlife market https://t.co/kW0NmHXH8X https://t.co/1d9XKVAPFh Comments are closed.
0,"Colombian Govt Wants To Legalize Cocaine And Then Sell It Another Little Black Book That Once Belonged To Epstein With New Names Is Found Ghislaine Maxwell’s Lawyers Cite Cosby Case As Precedent To Have Her Released From Prison Biographer Says Bill Gates Hosted Naked Pool Parties And Loved Getting Drunk Police Accidentally Kill Hero Who Fatally Shot Gunman That Just Killed A Cop Maryland Man Arrested After Threatening To Kidnap, Rape Kamala Harris And Kill Joe Biden Trump And Biden Will Have Microphones Muted At Times During Upcoming Debate Chinese President Xi Issues Warning At UN Of “Clash Of Civilizations” Mary Trump Tells Her Uncle To Resign As President Same Day Her Book Is Released Kanye West Announces He’s Running For U.S. Presidency 2020 Scientists Capture Two Murder Hornet Queens Alive And Destroy First Known Nest Scientists Find Evidence Of Water On The Moon “Incredibly Rare, One-In-A-Million” Super Earth Discovered By Scientists A Lunar Eclipse Is Happening This Weekend For Much Of The World Asteroid Larger Than Empire State Building To Narrowly Miss Earth This Week NASA Says Study Shows Electric Cars Become Practically Useless In Cold Weather Engineer Creates First Ever Working Lightsaber With Plasma That Can Cut Through Steel Lamborghini Releases GoKart Pro For Adults For $1,500 Bugatti Made $35,000 Miniature Electric Car For Kids A Life-Sized 60-Foot Gundam Robot Takes Its First Steps In Japan Six-Year-Old Superhero Receives 90 Stitches Saving Little Sister From Vicious Dog Attack The Day 1 Million Children Meditate For World Peace In Thailand Couple Recreate Photo Of How They Met At Woodstock 50 Years Later 30 Artists Who Tried To Capture The Feeling and Essence of Depression 20+ Heartwarming Photos Of Children Who Were Just Adopted 2000-Year-Old Green Serpentine Mask Discovered At The Base Of A Pyramid In Mexico Ancient Pool Untouched By Humans Found In 700 Foot Deep Cave ‘Greta Thunberg’ Seen On 120-Year-Old Photo ‘Extinct’ Leopard Spotted for the First Time Since Disappearing in 1983 No More Coffins, Organic Burial Pods Will Turn Bodies Into Trees NASA Found 9 House Plants That Eliminate Toxins From The Air Small Deadly Blue Dragons Wash Up On Texas Beaches 4.5 Million “Baby Blue” Flowers Bloom Across Japanese Park In a Sea of Blue Lights Himalayan Mountains Visible From Parts Of India For First Time In 30 Years Photographer Captures Rare Glimpse of Legendary Icelandic Horses Tourists Beat A Seal Until It Was Unconscious So They Could Get A Picture Mother Elephant And Her Calf Attacked With Firebombs 400-Year-Old Shark Found in Arctic Is the World’s Oldest Living Vertebrate Melanistic Animals Are The Opposite Of Albino With Dark Pigment And Hair Which Dictator Killed The Most People? More Celebrities Are Starting To Voice Their Support For Donald Trump List of 20 Songs The CIA Used To Torture Prisoners Of War Police Sketch Of Woman Implicated In Madeleine McCann Disappearance Looks Like Ghislaine Maxwell Maria Farmer Epstein Victim: Rothschilds, Trump, Clintons, Wexner All Involved Anonymous Million Mask March Hackers Stole Money From The Corporations and Donated to Charity Protesters In France Attack Police Station With Fireworks And Metal Bars Anonymous Message To The Remaining Co-Conspirators In Jeffrey Epstein’s Cult Anonymous Message On The Worldwide Fight Against Child Trafficking Brittney Spears Compared Her Conservatorship To Sex Trafficking In Court Testimony Tekashi 6ix9ine Says There’s “No Difference” Between Him and Tupac Sony Offering Gamers Jobs To Play Video Games Kanye West Tweets About Divorce And Claims Movie “Get Out” Was About Him Drive-in Movie Theaters May Be Making A Comeback As Cinemas Close For Pandemic Sam Neill, Laura Dern And Jeff Goldblum Will Return For Jurassic World 3 Corey Feldman Needs 24hr Security As He Prepares To Release Film Exposing Hollywood Child Abusers Former Member Sues Church Of Scientology For Human Trafficking Time Traveler Claims There are No Banks, Money or Wars in The Year 2300 Sony Offering Gamers Jobs To Play Video Games Model Of What Gaming Addict Can Look Like In 20 Years Is Terrifying Published on By Is Kanye West actually running for president this year? Nobody really knows the actual answer to that question, but his campaign has begun nonetheless. Things have already gotten off to a rocky start at his first event in Charleston, South Carolina, and now he may be dealing with some very serious problems in his personal life. According to a report from Us Weekly, Kanye’s wife, Kim Kardashian, has begun contacting lawyers about a divorce, after his controversial remarks made at the event and in the following days on his Twitter account. However, Kardashian later made a post on her Instagram page asking for privacy and compassion, and discussing her husband’s mental health issues. His family was reportedly so concerned about his mental health as they were watching the rally, that they wanted to have him committed to a mental hospital immediately after his speech. West made a wide range of controversial remarks at his event, but most upsetting to his family was the revelation that he initially wanted to abort one of their children. West became extremely emotional and broke down into tears during that part in his speech. “My dad wanted to abort me. My mom saved my life. There would’ve been no Kanye West because my dad was too busy,” West said, before shouting, “I almost killed my daughter! I almost killed my daughter!” Photo: AP In the discussion about abortion, West advocated for a strange policy where mothers would be paid $1 million to have a baby, even mothers in other places like Africa, and that Israel should pay the bill. The idea is that it would encourage women to keep their babies without making abortion illegal. Many people noticed that his comments were strangely similar to Donald Trump’s promise to build a wall and make Mexico pay for it. “Everybody that has a baby gets a million dollars or something in that range. We will fund it with other countries. America with other continents. There are Israeli continents that do not believe in this. There are African continents that do not believe in this,” he said.  Kanye West launches bid for presidency From abortion, to civil rights figure Harriet Tubman, Kanye West's rambling speech launched his bid to become president.https://www.itv.com/news/2020-07-20/kanye-west-runs-for-president-with-million-dollar-babies-among-campaign-ideas Posted by ITV News on Monday, July 20, 2020 West made a variety of other strange comments, including that Harriet Tubman never actually freed the slaves, “she just had the slaves go work for other white people.” After getting home from the event, West launched into a tirade on Twitter where he admonished his family for attempting to get doctors to “lock him up.” Many of the posts have since been deleted.  Kanye’s friends were very concerned about his mental health, and he ended up getting some unexpected visits from people like Dave Chappelle. West posted an awkward video on Twitter where he is coaxing Dave Chappelle into telling a joke. https://twitter.com/kanyewest/status/1285627821424087040 Elon Musk also reportedly talked to West and said that “He seems like he’s doing fine.” West has been very public about his struggle with bipolar disorder. In 2016, he spent time in the hospital after a ‘psychiatric emergency’ in the middle of a tour that forced him to cancel 21 shows. Trump Signs Executive Order Blocking Undocumented Immigrants From Census Chicago Shooting At Funeral Leaves 15 People Injured Mark Horowitz is a graduate of Brandeis University with a degree in political science. Horowitz could have had a job at one of the top media organizations in the United States, but when working as an intern, he found that the journalists in the newsroom were confined by the anxieties and sensibilities of their bosses. Horowitz loved journalism, but wanted more freedom to pursue more complex topics than you would find on the evening news. Around the same time, he began to notice that there was a growing number of independent journalists developing followings online by sharing their in-depth analysis of advanced or off-beat topics. It wasn't long before Horowitz quit his internship with a large New York network to begin publishing his own material online. Published on By This article was originally published On Dec 3, 2020 Colombia is one of the most notorious producers of cocaine in the world, despite the fact that the country has gone to great lengths in hopes of diminishing the trade of the drug trade within its borders. Now, some members of the Columbian government are proposing a new approach. They are calling for the drug to be legalized and for the government to take control of the industry for themselves. In a new bill first proposed earlier this year, senators Iván Marulanda and Feliciano Valencia call for the Colombian government to take total control of the cocaine industry to bolster public funds and cut violent cartels out of the trade. In a recent interview with VICE, Marulanda explained that the government would purchase coca at market price from the 200,000 farming families that are believed to be involved in the trade. Columbia is considering a bill that makes the government buy up and sell the country’s cocaine production. HOLY. SHIT. So instead try to stamp out drugs, Columbia tries to take control of the trade and regulate the problem? https://t.co/8SBmE45dmX — Jason Ng (@ByJasonNg) December 2, 2020  The senators argued that it would actually be cheaper for authorities to buy the crop from the farmers than it would for them to destroy their crops. It costs the government roughly $1 billion every year to destroy coca crops, while it would only cost about $680 million to buy it. “The thing is, we have to recover control over the state. We’re losing control of the state to corruption, narcos in politics. They’re in municipalities, in departments and in congress. All the way to the highest echelons of government,” Marulanda explained. From here, the state would supply cocaine to users and research groups looking to study its use for painkillers, but it would not be sold recreationally. However, cocaine use is already legal in Columbia, after a court ruled that personal consumption was a human right. Marulanda is not sure if his bill will make an impact, or how long it will take to gain traction, but he is hoping to make it a major election issue in 2022. ‘The first big obstacle is to open up the conversation among public opinion. This has been a giant taboo. Colombians are born and raised under this assumption that drug-trafficking is a war. There’s no information about coca and cocaine. So, with this bill we hope to open the conversation,” he explained.  In recent years, the government has stepped up their military-police-style enforcement of the industry, and yet cocaine production continues to grow in the country. Coca cultivation reached 212,000 hectares last year, a rise of nearly 2% from 208,000 hectares the year before, according to figures released by the White House in March. Potential pure cocaine production, meanwhile, rose to 951 metric tons, an 8% increase, according to the Associated Press. “It’s pretty remarkable that they manually eradicated 100,000 hectares last year and didn’t move the needle,” Adam Isacson of the Washington Office on Latin America think tank said earlier this year. “I guess it means replanting has at least kept pace.” It seems that no matter what the government does, the cocaine keeps on coming, so politicians are willing to try things that may drastic. However, as Marulanda pointed out in his interview with Vice, cutting out the criminal middlemen will reduce the violence seen in the country’s drug war, and also make the drug safer for the people who use it. UPDATE: Historic win for coca/cocaine regulation Bill in Colombian Senate – 22nd April 2021 Published on By It is well-known that the late pedophile Jeffrey Epstein kept detailed records of all the powerful people that he stayed in contact with. There is a notorious “little black book” that was published by Gawker in 2015, which exposed many of the powerful people in his circle. This book is believed to contain the contacts that he most frequently called around 2004 and 2005. However, a new list of contacts, recently published by The Insider, reveals new names that were friends with Epstein in the 1990s. The new black book has the names of 349 people, many of whom did not appear in the list that was previously released to the public. Among the names on the list are Suzanne Ircha, who’s married to Woody Johnson, owner of the New York Jets, famous wall street investor Carl Icahn, supermarket owner John A. Catsimatidis, actress Morgan Fairchild, former New Republic owner Marty Peretz; and Cristina Greeven, the wife of CNN anchor Chris Cuomo. The new black book was made public through a strange twist of fate. A woman initially found the book in the late 1990s and saved it for many years until she finally sold it on eBay.  Denise Ondayko, the woman who found the book, said she was walking down Fifth Avenue in the mid-’90s when she spotted a black address book on the ground. She said that she didn’t realize it was Epstein’s book at the time, because he was pretty much unknown to the public, but she did realize that it had a lot of famous names and figured that it might be worth something, so she held onto it. Last year, Ondayko was cleaning out an old storage unit where she was keeping some of her things and she stumbled upon the book. Now that Epstein was all over the news, the information contained in the book was much more obvious to identify. Ondayko said she reached out to everyone in the media that she could, including John Oliver, Rachel Maddow, and The New York Times, but none of them ever got back to her, so she eventually just put it up for sale on eBay. The buyer was Chris Helali, an aspiring politician from Vermont. He purchased the book for $425.  Helali also tried reaching out to the media, including journalists that were already reporting on Epstein, but none of them seemed interested. Finally, Nick Bryant, the reporter who wrote the original Gawker black book story forwarded the book to the Insider who decided to publish. Insider hired Dennis Ryan, a former forensic document examiner and laboratory supervisor for the Nassau County Police Department, to verify the authenticity of the book. Ryan says that the book is definitely from the late 90s, and many of the dates and addresses match up perfectly with Epstein’s properties and known contacts at the time. The Insider also reached out to dozens of contacts listed in the book who had never previously been publicly associated with Epstein. Fourteen acknowledged on the record that they knew or had met Epstein in the ’90s. There are over 120 names that appear in both books, including Donald Trump and Bill Clinton. Some of the other names included, Steve Rattner, Beth Anne Bovino, Dominique Bluhdorn, Jill Harth, Ted Field, Robert Nunnery, Stanley Shopkorn, Steve Ruchevsky, Ellen Susman, William and Ann Nitze, Les Gelb, Ron Daniel, Sandy Warner, Cyril Fung, Marius Fortelni, Michael Cutlip. Many of these names aren’t necessarily famous, but they are very powerful people in business and finance. The address book is now available in a searchable database on the Insider, but it is unfortunately hidden behind a paywall.  Published on By Last week, former actor Bill Cosby was released from prison on a technicality, despite the fact that he admitted to drugging and assaulting multiple women, and was accused by many others. After his release, legal experts warned that the ruling could set a dangerous precedent that attorneys in similar cases would use to get their clients released as well. Now, just a week later, Ghislaine Maxwell’s lawyers are arguing that she should have her case thrown out on the same grounds, according to The Guardian. Cosby was released because the prosecutor involved initially didn’t press any charges, and claimed that Cosby would not be facing any legal trouble, so when Cosby later confessed, his confession was called into question and no longer admissible in court. The judge also ruled that Cosby had no chance of a fair trial because evidence that was not admissible was so freely available in the media that the jury was unable to make a judgment without considering those facts. Photo: AP Maxwell’s case is similar because the first time that Epstein was arrested for human trafficking, he was given a sweetheart deal by Alex Acosta, a friendly prosecutor. The deal helped Epstein avoid any serious jail time, but it also gave him and his associates legal protection from being held accountable for any future crimes. Obviously, it is not possible to shield a criminal from the consequences of actions that they will take in the future, so Epstein was arrested again many years later after it was discovered that he continued his crimes long after his initial arrest. If Epstein and his friends did have any kind of immunity from that deal, it ended when they continued to commit crimes after the deal was made. Still, Maxwell’s lawyers are optimistic after Cosby’s recent release.  “The government is trying to renege on its agreement and prosecute Ms Maxwell over 25 years later for the exact same offenses for which she was granted immunity,” Maxwell’s lawyers wrote in a statement to Judge Alison Nathan. However, the judge has previously ruled that the deal did not apply to the current case. In an opinion piece for the New York Daily News, Maxwell’s attorney David Oscar Markus wrote that releasing Bill Cosby from prison was the right decision, and that Ghislaine Maxwell should be released as well. Markus argued that prosecutors should have to keep the promises that they make to suspects, because people will sometimes incriminate themselves if they think they have immunity. However, many times prosecutors are corrupt and make promises that are against the best interests of the public, as we saw in Jeffrey Epstein’s first “sweetheart deal” with Alex Acosta while he was district attorney in Southern, Florida. Prosecutors are lawyers, they aren’t the judge and jury, and they shouldn’t hold this much power in a case this serious. Judge Alison Nathan has not yet responded to the recent request, but she did condemn the recent opinion piece that was published by her lawyers in the New York Daily News earlier this week.  Pedophiles Panic As New Epstein Flight Logs Set To Be Revealed Alabama Passes Law to Chemically Castrate Pedophiles The New Bugatti La Voiture Noire Is Worth £14 Million Iranian Presidential Adviser Posted A List Showing Locations For All Trump’s Properties NASA Chief Warns That Humans Must Prepare For A Massive Meteor Strike Anonymous Message to the People of Hong Kong DeLorean Confirms Plan To Redesign and Produce A New Line Of DMC 12S Cars Man Used Internet Registry to Track down and Beat up Pedophiles Father Shoots Man Who Kidnapped & Raped His Son, On National TV Anonymous Warns Citizens Of The World About Coming Global Lockdown Leonardo-backed fund Pledges $5 Million To Preserve Amazon Rainforest Ilhan Omar’s Arrest Record And Corruption Charges Revealed No More Coffins, Organic Burial Pods Will Turn Bodies Into Trees Anonymous Predicts What Coronavirus Will Bring In The Coming Months China Releases New Frightening Video Showing Attack On U.S. Guam Military Base New Surveillance Footage Shows George Floyd Was Not Resisting Arrest Anonymous Message To Greta Thunberg Chinese State Media: “If U.S. Troops Return To Taiwan, China Will Start A War” Military Base Where Soldiers Have Been Murdered Get’s Caught Up In Child Trafficking Sting Anonymous Message On The Worldwide Fight Against Child Trafficking Anonymous News ©2021 Midialab Ltd. All rights reserved."
0,"Begin typing your search above and press return to search. Press Esc to cancel. Educate, Agitate, Organize Author – Dr Amritpal Kaur Although Punjab has a rich tradition of literature, the entire genre of identity literature is blind to gender and has strongly refused to engage with Dalit women. If we carefully observe, we realize that this missing of gender is systematic and innate in the understanding of Dalit assertion. The Dalit assertion is the assertion of a man and is most noticeable in Punjabi songs like putt chamaaran de (sons of chamaars) which is blatantly masculine. Blocking of gender in historical context has made Dalit women of Punjab almost invisible in literature as well. Sant Ram Udasi and LAL Singh Dil remain the icons of social protest, who have tried to express the silent pain and humiliation of their women through their poems. A passage from Sant Ram Udasi’s long poem titled ‘Abode of the Labourers’ is as below:- “Where all the roads are shut Where the dove is beset by crows Where unwed girls become mothers Where daughters sigh in grief Keep shining, O bright sun, on the abode of labourers.” Omprakash Ghaso’s novel Mitti da Mul (the worth of soil) holds a special place in Dalit Punjabi literature for producing the first Dalit female protagonist (fictitious) of Punjab, Mindo Bazigarni who dares the Jat Sikh landlord for his promiscuous offer of collecting fodder from his farm. This novel was later in the 1980s turned into a play by Gursharan Singh, a Punjabi play writer. In fact, it was in his plays that Punjabi Dalit women protagonists made their entry into public theatres which created a large female audience and gave them a chance to get out of their private spaces into public spheres. Mindo Bazigarni, Sheelo Ghumiyaran, Surjit Kaur Sarpanchni are SHE Heroes in Dalit bastis. Women mobilized in big numbers for these late evening cultural performances. Gurdial Singh in Anne Ghode da Daan (alms for the blind horse), succeeds in conveying the humiliation seethed by a Dalit woman after she returns to the four walls of her crumbling house from the fields where she had to hear insults for a few stalks of mustard from the landlord. Later on she walks out in the blind streets in the middle of the night to avoid what she feels as suffocation. Dalip Kaur Tiwana, a non-Dalit, writes in her novel, Eho Hamara Jiwana (this our life) that a poor Dalit woman has no kith or kin, once they are sold (even for a little money) she lives in an island of the social outcaste, even in the small village she belongs to none. Socially and individually, she doesn’t exist, only floats. Female Dalit singers of Punjab have also suffered the same fate of exclusion from the mainstream entertainment. Folk legendary singer Narinder Bina gave a tough competition to upper caste female singers of her time like Surinder Kaur and Gurmeet Bawa. It is said that Narinder Biba was a far better singer in qualitative terms than her competitors but was given fewer opportunities in terms of technology. Bibi Nooran was another prolific Sufi singer of Punjab with a mesmerizing and powerful voice. Owing to patriarchal society and extreme poverty she wasn’t allowed to pursue her career in singing but few of her songs available today are still matchless and captivating. None of the present-day singers, both male and female belonging to upper castes, stand a chance in matching their powerful voices. Swaraj Nooran, daughter of Bibi Nooran, followed her mother’s dream, despite strong opposition from family and society. Her daughter’s, popularly known as Nooran sisters, have created a mark for themselves in the Punjabi music industry which is male and Jat oriented. Another promising singer Ginni Mahi, has been able to make her presence felt by confidently embracing her identity of a Chamar. She praises Dr B. R. Ambedkar and Guru Ravidas through her revolutionary songs. Amrita Pritam, Ajit Kaur, Sujhwinder Amrit and many more women writers from Punjab have successfully expressed the feelings of humiliation, inferiority, anguish, love, desire, in their writings but none could touch the humiliation caused by the intersection of caste, class and gender. Bahujan Andolan is a socio-cultural political movement in North India. Many Dalit women of Punjab have actively participated from the genesis of movement becoming more than mere cultural participants. Sheela Rani remained active in Majha, Malwa and Doaba regions, Darshna Devi fought assembly elections from Mukerian constituency in 2007 and stood third (earning her the title of Mayawati of Punjab), Nirmala Dasua fought the assembly election from Gardhiwala in 2002, Rachna Devi from Phagwara was the general secretary of BSP, Harvinder Kaur, (daughter of Tajinder Singh Jhalli who was the chief of BAMCEF) participated in historical cycle march of 1984 from Delhi to Jammu along with Kanshiram, Manjinder Kaur from Patiala, Hardev Kaur Shant from Jalandhar and Sawarna Kaur from Balachaur constituency remained the backbone of the political identity of Punjab Dalits have been struggling for upward mobility in caste hierarchy. Many Dalits have been able to shift occupationally from being agricultural labourers to low-income private jobs in beauty salons, private companies and other shops as helpers, waiters, etc. Many are bearing the fruits of reservation, a hard-won right by Babasaheb for his people. The betterment of their economic status has not produced any significant result in their social position as lack of cultural capital is a huge roadblock. The educated Dalit youth is busy in the processes of Sanskritisation and migration. Migration is synonymous with the Punjabi culture despite the fact that Punjab has the most abandoned NRI brides. The NRIs, however, do not contribute to the upliftment of their community but squander their money in expressing newly gained class consciousness. They rejoice in their false pride in being able to spend like Upper caste Jats. In their aspirations for upward mobility and adoption of high-status cultures, educated Dalit women are seen enforcing ideas of development and modernity. Retro modernity is constructed at the outskirts of normative modernity for most of the Dalit community, who lack the purchasing power like the upper castes and cannot engage in consumption to claim modernity like them. They continue to fluctuate between rurality and modernity without being able to belong to either of identities. The educated Dalits blindly emulate the upper caste behaviour adopting more conservative norms around women’s behaviour which upholds female seclusion (dalitisation of patriarchy). Today, the educated and working Dalit women are nothing more than the producers of respectability (respectability hinges on the successful balance between work and home) and status despite being economically productive members of the families. Today, the Dalit women of Punjab are living two lives in extremity. First is the rural life marked by extreme poverty, deprivation, domestic and sexual abuse, crime, addiction, labelled as quarrelsome, vulgar, coarse, devoid of moral sense, sexually promiscuous and complete social exclusion. On the other side as the dutiful daughters and wives engaged in the work of status production. In both cases, they are rendered powerless by the family, society and culture, and their powerlessness is being reproduced by all these social structures. Punjabi Dalit women suffer from systematic silencing and have been widely under-represented in feminist discourses dominated by Jat women. They have no identity of their own and their Dalit identity is actually disempowering. Although they have been silenced in the mainstream, their bodies remember. The bodies of Dalit women of Punjab speak of their minds and memories. Their silent struggles are engraved in the furrows of their wrinkled faces and dried eyes; they only need to be touched upon through human endeavours. About the author – Dr Amritpal Kaur, Institute of Ambedkar Studies, Jalandhar, Punjab Dr AmritPal Kaur’s “Dalits of Punjab – Literature of Punjab Dalit Women” is densely insightful article, it provides many new ideas for further research. Regards Kumar Sushil Comment Name Email Url Notify me of follow-up comments by email. Notify me of new posts by email.  "
0,"President Trump made it clear last Friday that he plans to continue holding Trump rallies even if he wins re-election in November. Washington Examiner reports President Trump said that, even if he wins reelection in November, he will continue to hold rallies across the country. Speaking last Friday at an Opportunity Now Summit in Charlotte, North Carolina, the president touted his economic achievements and said his boisterous rallies would continue into a second term. â€œCan you believe how fast weâ€™re going? Weâ€™ll keep the rallies going if we win. Even when we win next time, weâ€™ll do rallies,â€ Trump told the crowd, which at one point in his speech chanted, â€œFour more years.â€ WATCH:  FULL EVENT:  This article first appeared on TheConservativeOpinion.com For more breaking news click here. ShareTweet"
0,"Image via Pexels The National Treasury and the South African Revenue Service (SARS) announced the so-called South African expat Tax in 2017. Image via Pexels South African’s living and working abroad are bracing themselves ahead of the implementation amendments to the Income Tax Act which have been dubbed the expat tax. The National Treasury and the South African Revenue Service (SARS) announced major changes in the tax exemption on South African expatriates as far back as 2017, but the amended legislation takes effect from 1 March 2020. Under the amended legislation, South African tax residents working in other countries will only be exempt from paying tax on the first R1 million they earn abroad. Once an individual crosses the R1 million mark, they will be required by law to pay tax on all foreign earnings. South African tax residents who provide paid services outside of South Africa on behalf of an employer for longer than 183 days during a 12 month period will be granted an exemption. Director at law firm Garlicke & Bousfield, Graeme Palmer explained that the exemption only applies if during the same 12 month period a person rendered services outside South Africa for a continuous period of at least 60 days. “If this criterion is met the resident is exempt from income tax on such foreign income in South Africa,” Palmer is quoted by BusinessTech. “The amendment now provides that a person who meets these requirements will only be exempt from income tax in South Africa up to the first R1 million of their employment income earned abroad.” Palmer explains that the changes in legislation will only affect South African tax residents working abroad not former citizens or long-term expatriates who live and work abroad. In other words, South Africans who have permanently moved abroad will not be subject to double taxation. Such individuals will only need to pay tax in the country where they now live and work. For the law to apply a person would have to be present in South Africa for a certain amount of time through the tax year. “It is important for expatriates to understand that the exemption only applies to South African tax residents working abroad,” Palmer said. “These are persons who are still ordinarily resident in South Africa or have been physically present in South Africa for a statutory specified number of days each year over a five year period. “Expatriates who have been living abroad for many years or who have emigrated are unlikely to be effected by this law. They will only pay tax in the country where they now live and are employed.” Take our survey & stand a chance to WIN R6 000 in cash. CLICK HERE! TheSouthAfrican.com is all about South Africa and the stories that affect South Africans, wherever they are in the world. We’re independent.No agenda.No Bias. Our offices are for administrative purposes only, no visitors will be accepted without an appointment. South Africa – Blue Sky Publications (Pty) Ltd T/A TheSouthAfrican Number: 2005/028472/07. Address: Regus Business Centre 1st Floor, Block B, North Park, Black River Park, 2 Fir Street, Observatory, Cape Town, 7925, South Africa Postal: Blue Sky Publications (Pty) Ltd T/A TheSouthAfrican, PO Box 44354, Claremont, 7735, South Africa United Kingdom – Blue Sky Publications Ltd – Company Registration Number: 04683692. Address: Riverbank House, 1 Putney Bridge Approach, London, SW6 4TJ Copyright Blue Sky Publications Ltd. All Rights Reserved."
0,"How they can help in wealth creation Tomorrow is different. Let's reshape it today #TougherTogether Hunt for the brightest engineers in India Mental Health Awareness Initiative Download The Economic Times News App to get Daily Market Updates & Live Business News. ETPrime stories of the day US payments-network firms are under Centre’s compliance scanner. Is Mastercard playing with fire? Don’t appoint CAs as part-time members of authority, NFRA tells ministry How Tata Motors, M&M, Hyundai, and MG are using their EV learning curve to electrify growth More » Trending Now Popular Categories Hot on Web In Case you missed it ET Verticals More from our network Other useful Links services Find this comment offensive? Choose your reason below and click on the Report button. This will alert our moderators to take action Reason for reporting: Your Reason has been Reported to the admin. Log In/Connect with: Will be displayed Will not be displayed Will be displayed Stories you might be interested in"
