"","Fold1","Fold2","Fold3","Fold4","Fold5","Average"
"Sensitivity",0.912087912087912,0.923076923076923,0.956043956043956,0.934065934065934,0.966666666666667,0.938388278388278
"Specificity",0.868131868131868,0.879120879120879,0.461538461538462,0.488888888888889,0.483516483516484,0.636239316239316
"Pos Pred Value",0.873684210526316,0.884210526315789,0.639705882352941,0.648854961832061,0.649253731343284,0.739141862474078
"Neg Pred Value",0.908045977011494,0.919540229885058,0.91304347826087,0.88,0.936170212765957,0.911359979584676
"Precision",0.873684210526316,0.884210526315789,0.639705882352941,0.648854961832061,0.649253731343284,0.739141862474078
"Recall",0.912087912087912,0.923076923076923,0.956043956043956,0.934065934065934,0.966666666666667,0.938388278388278
"F1",0.89247311827957,0.903225806451613,0.766519823788546,0.765765765765766,0.776785714285714,0.820954045714242
"Prevalence",0.5,0.5,0.5,0.502762430939227,0.497237569060773,0.5
"Detection Rate",0.456043956043956,0.461538461538462,0.478021978021978,0.469613259668508,0.480662983425414,0.469176127739664
"Detection Prevalence",0.521978021978022,0.521978021978022,0.747252747252747,0.723756906077348,0.740331491712707,0.651059437799769
"Balanced Accuracy",0.89010989010989,0.901098901098901,0.708791208791209,0.711477411477412,0.725091575091575,0.787313797313797
